,Digital price list - full cost only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sides printed,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finishing,,,,,,,,,,,,,C/C & glued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gluing style,,,,,,,,,,,,,Easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIGITAL - 395um INVERCOTE G GLUED,,,,,,,,,,,,,,,,,,,73088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C DIE,Number up,1,5,10,15,20,25,40,50,75,100,,200, 250 , 300 , 400 , 500 , 600 , 750 ," 1,000 "," 1,500 "," 2,000 "," 2,500 "," 3,000 "," 3,500 "," 4,000 "," 4,500 "," 5,000 ",5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,12000,12500,13000,13500,14000,15000,17000,17500,18000,20000,25000,30000,35000,40000,,50000,60000,
250,1,,,œ564.98,,,,œ573.62,,,œ587.24,,œ629.38,œ653.80,œ675.60,œ722.71,œ765.80,,œ884.80,"œ1,003.80","œ1,247.40","œ1,486.80","œ1,727.60","œ1,971.20","œ2,210.60","œ2,451.40","œ2,695.00","œ2,935.80",œ0.00,"œ3,417.43",œ0.00,"œ3,900.25",œ0.00,"œ4,383.89",œ0.00,œ0.00,œ0.00,"œ5,347.15","œ6,385.13",œ0.00,,,,"œ7,828.94","œ8,896.80",œ0.00,"œ9,385.59","œ10,243.18",,,,0,,,,
275,2,,,,,,,,,,œ0.00,,œ0.00,œ599.20,œ0.00,œ0.00,œ642.60,,œ702.80,œ760.20,œ879.20,"œ1,003.80","œ1,127.00","œ1,250.20","œ1,376.20","œ1,498.00","œ1,622.60","œ1,744.40",#VALUE!,œ0.00,œ0.00,"œ2,251.27",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ2,983.36","œ3,515.68",œ0.00,,,"œ4,059.80","œ4,309.49",,œ0.00,,"œ5,586.34",,,,0,,,0,
300,3,,,,,œ582.82,,,œ586.29,,œ0.00,,œ0.00,œ603.40,œ0.00,œ0.00,œ625.80,,œ658.00,œ697.20,œ781.20,œ861.00,œ943.60,"œ1,029.00","œ1,115.80","œ1,202.60","œ1,286.60","œ1,370.60",œ0.00,"œ1,543.42",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ2,064.58",œ0.00,"œ2,237.09",,œ0.00,,,,œ0.00,,œ0.00,"œ3,679.09","œ5,555.23",,œ0.00,,,,,,
325,4,,,,,œ599.23,,,œ602.90,,œ0.00,,œ0.00,œ617.40,œ620.35,œ0.00,œ350.00,,œ653.80,œ676.20,œ740.60,œ805.00,œ865.20,œ928.20,œ996.80,"œ1,064.00","œ1,131.20","œ1,194.20",œ0.00,œ0.00,œ0.00,#VALUE!,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ1,867.54",,œ0.00,,,,"œ2,613.53",,œ0.00,,œ0.00,,,,,,,,
350,5,,,,,,,,,,œ0.00,,œ0.00,œ632.80,œ0.00,œ0.00,œ648.20,,œ663.60,œ679.00,œ726.60,œ777.00,œ828.80,œ883.40,œ935.20,œ988.40,"œ1,043.00","œ1,097.60",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
375,6,,,,,,,,,,œ0.00,,œ0.00,œ649.60,œ0.00,œ0.00,œ663.60,,œ677.60,œ690.20,œ722.40,œ765.80,œ810.60,œ855.40,œ903.00,œ947.80,œ992.60,"œ1,038.80",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ1,513.69",,œ0.00,,,,"œ2,053.25",,œ0.00,,"œ2,526.93","œ3,011.86",,œ0.00,,,0,,
400,7,,,,,,,,,,œ0.00,,œ0.00,œ667.80,œ0.00,œ0.00,œ679.00,,œ693.00,œ705.60,œ730.80,œ765.80,œ805.00,œ844.20,œ884.80,œ924.00,œ966.00,"œ1,005.20",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ1,427.41",,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
425,8,,,,,,,,,,œ0.00,,œ0.00,œ687.40,œ0.00,œ0.00,œ697.20,,œ709.80,œ719.60,œ744.80,œ767.20,œ805.00,œ840.00,œ739.20,œ914.20,œ949.20,œ985.60,œ0.00,œ0.00,œ0.00,"œ1,134.46",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ1,365.08",,œ0.00,,,,"œ1,811.56",,œ0.00,"œ2,038.02","œ2,191.39","œ2,570.88","œ3,014.19",,"œ3,785.68",,,,
450,9,,,,,,,,,,œ0.00,,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,"œ1,803.33",,œ0.00,,œ0.00,,,,,"œ4,206.96",,,
475,10,,,,,,,,,,œ0.00,,œ0.00,œ0.00,œ688.16,œ0.00,œ0.00,,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ963.87,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ1,308.34",,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,œ0.00,,,
500,11,,,,,,,,,,œ0.00,,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
525,12,,,,,,,,,,œ0.00,,œ0.00,œ684.04,œ0.00,œ0.00,œ694.08,,œ0.00,œ717.01,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ921.51,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ1,223.11",,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIGITAL - 395um INVERCOTE G UNGLUED,,,,,,,,,,,,,,,,,,,73089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C DIE,Number up,1,5,10,15,20,25,40,50,75,100,,200, 250 , 300 , 400 , 500 , 600 , 750 ," 1,000 "," 1,500 "," 2,000 "," 2,500 "," 3,000 "," 3,500 "," 4,000 "," 4,500 "," 5,000 ",5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,12000,12500,13000,13500,,15000,,17500,,20000,,,,40000,,,,
250,1,,,,,,,,,,œ322.15,,,œ446.60,,,œ553.00,,œ663.60,œ777.00,"œ1,009.40","œ1,241.80","œ1,474.20","œ1,706.60","œ1,937.60","œ2,170.00","œ2,402.40","œ2,636.20",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ4,521.41",,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
275,2,,,,,,,,,,,,,œ438.20,,,œ469.00,,œ520.80,œ576.80,œ690.20,œ805.00,œ924.00,"œ1,041.60","œ1,160.60","œ1,278.20","œ1,394.40","œ1,513.40",#VALUE!,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,"œ9,907.86",,0,,
300,3,,,,,,,,,,,,,œ449.40,,,œ470.40,,œ512.40,œ526.40,œ600.60,œ676.20,œ754.60,œ833.00,œ912.80,"œ1,002.01","œ1,072.40","œ1,152.20",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
325,4,,,,,,,,,,,,,œ464.80,,,œ480.20,,œ497.00,œ512.40,œ567.00,œ624.40,œ683.20,œ742.00,œ800.80,œ861.00,œ924.00,œ984.20,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
350,5,,,,,,,,,,,,,œ483.00,,,œ495.60,,œ509.60,œ522.20,œ555.80,œ603.40,œ649.60,œ697.20,œ743.40,œ791.00,œ838.60,œ890.40,œ0.00,œ0.00,œ0.00,"œ1,090.92",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
375,6,,,,,,,,,,,,,œ501.20,,,œ512.40,,œ523.60,œ534.80,œ557.20,œ595.00,œ634.20,œ673.40,œ712.60,œ751.80,œ793.80,œ834.40,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
